Amend,Verb. To make formal changes to a document or contract. Example: The agreement was amended before signing.
Status quo,Noun. The existing state of affairs. Example: They have a vested interest in maintaining the status quo.
Pluck,Verb. To quickly remove something or someone. Example: The baby was plucked from a grim foster home.
Tatty,"Adjective. Worn and shabby, in poor condition. Example: Many public places are tatty at best."
Lousy,Adjective. Very poor or bad. Example: The service is usually lousy.
Jaded,Adjective. Feeling bored or lacking enthusiasm after too much of something. Example: You soon become jaded with flying.
Charlatan,Noun. A person falsely claiming special knowledge or skill. Example: The healer was a charlatan selling fake remedies.
Steering,Noun/Verb. The act of guiding or directing movement. Example: Effective steering is essential for safe driving.
Swerve,Verb. To make a sudden movement to the side. Example: The driver had to swerve to avoid the deer.
Self-preferencing,Noun. Favoring one’s own products or services over others. Example: The ruling addressed the company’s self-preferencing practices.
Breaching,Verb. Violating a law or agreement. Example: Breaching the contract will result in a fine.
Landmark,Noun/Adjective. An important or historic decision or event. Example: The court issued a landmark ruling.
Gatekeeps,Verb. Controls access or limits participation. Example: The editor gatekeeps which articles get published.
Intrepid,Adjective. Fearless and adventurous. Example: The intrepid explorer crossed the desert alone.
Weary travellers,Adjective + Noun. People exhausted from travel. Example: The weary travellers rested by the roadside.
Judicious,Adjective. Showing good judgment and care. Example: His judicious use of resources saved money.
Discerning,Adjective. Able to notice or appreciate fine details. Example: She has a discerning eye for quality art.
Invertebrate,Adjective (contextual). Long-established and unlikely to change. Example: The organisation’s rules are invertebrate.
Hotel touts,Noun. People who aggressively persuade travellers to choose certain hotels. Example: Be wary of hotel touts.
Unsuitable lodgings,Adjective + Noun. Bad or inappropriate accommodation. Example: We stayed in unsuitable lodgings.
In vain,Adverbial phrase. Without success. Example: They searched for the keys in vain.
Bliss,Noun. A state of perfect happiness or joy. Example: Listening to the waves felt like pure bliss.
Incredulity,Noun. A state of disbelief. Example: She reacted with incredulity.
Apathy,Noun. Lack of interest or concern. Example: His apathy toward school worried teachers.
Rejection,Noun. A feeling of sadness caused by disappointment. Example: The team sat in silent rejection.
Sorrow,Noun. Deep sadness due to loss or misfortune. Example: She felt sorrow when her friend moved away.
Delight,Noun. Great joy or pleasure. Example: The children shouted with delight.
Revulsion,Noun. A strong feeling of disgust. Example: He turned away in revulsion.
Fury,Noun. Intense anger. Example: She shouted in fury.
Loathing,Noun. Intense hatred or disgust. Example: He felt loathing for the corrupt politician.
Tedium,Noun. The state of being boring or monotonous. Example: He couldn’t stand the tedium of waiting.
Dread,Noun/Verb. Strong fear or anxiety about something. Example: She felt dread before the exam.
Satirized,Verb. Mocked using humor or exaggeration. Example: His mistakes were satirized on TV.
Effeminacy,Noun. Display of traits stereotypically considered feminine. Example: Critics commented on the effeminacy of his gestures.
Proliferate,Verb. To spread or increase rapidly. Example: Rumors proliferate on social media.
In vogue,Adjective phrase. Popular or fashionable. Example: That trend is currently in vogue.
Fleshy,Adjective. Having a substantial amount of flesh. Example: The mango was ripe and fleshy.
Luscious,"Adjective. Sweet, rich, and pleasant in taste. Example: The cake was topped with luscious berries."
Sensuous,Adjective. Giving deep sensory pleasure. Example: Eating the pear was a sensuous experience.
Abound,Verb. To exist in large quantities. Example: Rumors of scandal abound.
Ensue,Verb. To happen as a result of something. Example: A series of changes ensued.
Overripe,Adjective. Too ripe and beginning to decay. Example: The overripe bananas were used for bread.
Deem,Verb. To consider or judge. Example: The area was deemed safe.
Relegate,Verb. To place in a lower position or rank. Example: She was relegated to a desk job.
Outlook,Noun. The expected future situation. Example: The outlook for today is cloudy.
Despondency,Noun. A state of hopeless unhappiness. Example: A mood of despondency set in.
Thorough,Adjective. Detailed and careful. Example: A thorough revision was required.
